date,open,high,low,close,volume
2021-11-28,54422.11,58269.51,53322.69,57398.73,928.09942
2021-11-29,57394.56,58905.26,56321.17,56321.17,770.531611
2021-11-30,56321.18,59247.36,55919.0,56824.6,1064.362366
2021-12-01,56824.57,59100.0,55831.89,56958.02,1082.002107
2021-12-02,56952.7,57408.43,56059.77,56775.18,791.784537
2021-12-03,56791.71,57655.99,42000.0,47733.07,2770.290534
2021-12-04,47750.51,49722.06,46206.11,49478.63,1900.488085
2021-12-05,49485.48,49752.72,47811.15,48730.38,1150.899265
2021-12-06,48718.93,51462.99,47177.3,50952.21,1648.142725
2021-12-07,50941.5,51992.07,50068.71,50443.35,809.710276
2021-12-08,50457.81,51241.96,48653.06,49810.82,954.638637
2021-12-09,49809.04,50373.58,47335.0,48263.62,1153.9741
2021-12-10,48263.69,50108.51,46716.14,48329.77,1336.488595
2021-12-11,48349.79,49713.5,47805.74,49000.0,660.863215
2021-12-12,49000.0,50813.15,48472.72,49280.95,795.113296
2021-12-13,49277.1,49339.77,45744.38,46714.14,1547.829769
2021-12-14,46715.17,48769.23,46339.1,48121.81,1021.640791
2021-12-15,48125.67,49500.0,46547.0,48537.67,1469.992279
2021-12-16,48538.32,49455.55,47406.95,47717.91,748.723828
2021-12-17,47728.8,47762.08,45471.57,46610.4,1148.914519
2021-12-18,46618.89,48094.3,46221.37,47622.18,561.862162
2021-12-19,47626.5,48336.74,46243.5,46443.55,786.962408
2021-12-20,46428.99,48835.47,45566.22,48600.71,1280.552219
2021-12-21,48600.71,49584.81,48308.85,48981.12,747.197961
2021-12-22,48992.64,49545.85,48051.41,48402.75,573.143357
2021-12-23,48400.32,51535.63,48056.98,51034.01,899.290712
2021-12-24,51032.78,51853.65,50450.0,50914.29,508.759945
2021-12-25,50911.84,51167.03,49647.12,49910.01,527.906905
2021-12-26,49895.91,51308.75,49463.75,50886.55,592.95131
2021-12-27,50873.52,52148.5,48690.26,49232.14,836.325554
2021-12-28,49215.95,49461.87,47313.0,47881.3,798.594475
2021-12-29,47918.98,48076.44,45950.21,46767.25,965.007189
2021-12-30,46760.87,47924.27,46700.0,47285.73,596.512445
2021-12-31,47289.11,48575.71,45665.92,47200.02,1073.858376
2022-01-01,47190.56,47950.0,46722.08,47095.67,468.152221
2022-01-02,47087.56,47992.0,46668.46,47098.88,443.889422
2022-01-03,47102.58,47568.95,45700.83,46154.6,783.384691
2022-01-04,46153.0,47527.78,45547.55,46314.83,850.111475
2022-01-05,46303.77,47066.7,42460.0,43051.65,1882.128273
2022-01-06,43061.81,43588.75,40957.53,41846.64,1166.578757
2022-01-07,41842.24,42758.62,40618.07,41979.2,1155.400932
2022-01-08,41975.42,42317.98,40500.0,41764.21,1046.241144
2022-01-09,41767.53,42799.57,41200.02,42035.32,625.424101
2022-01-10,42036.19,42394.19,39648.0,42116.32,1845.296197
2022-01-11,42114.04,43123.93,41278.35,42716.29,955.261985
2022-01-12,42725.68,44344.9,42483.94,43699.9,805.675808
2022-01-13,43700.28,44443.98,42328.87,42925.15,907.780937
2022-01-14,42918.83,43466.46,41775.37,43011.48,814.671455
2022-01-15,43017.4,43828.92,42583.22,42984.07,506.49202
2022-01-16,42980.16,43500.58,42356.09,42687.9,424.308617
2022-01-17,42699.64,42981.89,41560.87,42133.21,502.989822
2022-01-18,42128.58,42683.51,41289.0,41772.61,713.969584
2022-01-19,41785.29,42579.07,41157.84,41904.53,952.102386
2022-01-20,41905.29,43506.83,38240.27,38913.96,1932.446179
2022-01-21,38921.99,39291.1,35427.64,35748.15,2331.879032
2022-01-22,35747.5,36179.48,34035.0,35455.29,2053.245074
2022-01-23,35455.77,36518.24,34613.42,35203.46,1323.120097
2022-01-24,35194.26,37569.72,32946.89,36079.09,2839.002488
2022-01-25,36068.33,37997.03,35714.9,37631.76,1623.059634
2022-01-26,37631.08,38941.17,35543.39,35995.17,1964.482808
2022-01-27,35989.98,37470.31,35538.87,37210.23,1193.308829
2022-01-28,37223.53,38041.21,36170.53,37672.33,1013.905687
2022-01-29,37680.0,38731.67,37326.62,38148.42,690.310575
2022-01-30,38148.33,38379.31,36647.99,37022.16,596.756204
2022-01-31,37019.73,38756.97,36826.75,38466.1,964.833568
2022-02-01,38472.44,39309.84,38025.31,38432.44,1129.826053
2022-02-02,38428.51,38790.94,36601.75,37019.69,941.805378
2022-02-03,37024.23,37709.14,36262.39,37559.32,729.715871
2022-02-04,37571.11,41957.28,37319.29,41559.27,1382.147131
2022-02-05,41553.79,41929.78,40962.34,41603.16,471.590878
2022-02-06,41603.04,43026.31,41141.25,42808.97,693.580041
2022-02-07,42845.91,45076.86,42273.54,44922.53,1075.29236
2022-02-08,44915.54,45520.37,42707.16,43630.9,1262.684811
2022-02-09,43624.61,44848.48,43226.82,43908.52,698.339978
2022-02-10,43920.64,45851.22,42534.8,42857.47,1482.445413
2022-02-11,42870.57,43975.63,41980.01,42287.73,859.906381
2022-02-12,42301.15,43049.5,41753.43,42293.59,414.428426
2022-02-13,42295.45,42782.0,41560.0,41801.85,408.836373
2022-02-14,41794.7,43799.22,41755.53,43599.68,708.082073
2022-02-15,43594.31,44775.12,43551.97,44086.16,643.75953
2022-02-16,44080.26,44394.97,43331.71,43644.18,605.265661
2022-02-17,43642.14,44046.03,40075.37,40658.25,1166.717533
2022-02-18,40642.9,41126.49,39454.41,40266.48,664.2047
2022-02-19,40269.12,40469.58,39308.33,39377.02,341.226104
2022-02-20,39370.59,39499.99,38006.12,39247.78,640.556484
2022-02-21,39245.44,39377.77,36373.73,36767.9,1474.165083
2022-02-22,36742.61,38445.03,36546.21,37992.78,882.321697
2022-02-23,37996.86,39269.22,34317.34,34686.3,1266.537923
2022-02-24,34686.3,39700.0,34397.35,38465.96,1746.053067
2022-02-25,38466.03,40296.05,38012.92,39045.11,983.435303
2022-02-26,39037.7,39694.97,38212.43,38608.91,447.119922
2022-02-27,38598.55,39884.49,37010.72,37839.37,671.71943
2022-02-28,37852.38,44259.41,37475.03,43229.15,1412.459176
2022-03-01,43224.42,45000.0,42815.84,44283.36,1122.467779
2022-03-02,44302.03,45321.42,43236.53,43351.87,844.934097
2022-03-03,43343.07,44103.62,41071.0,41381.64,987.526989
